English,Arabic
hello,مرحبا
world,العالم
cat,قط
dog,كلب
goodbye,وداعا
house,منزل
computer,حاسوب
friend,صديق
book,كتاب
school,مدرسة
sun,شمس
moon,قمر
water,ماء
food,طعام
family,عائلة
city,مدينة
music,موسيقى
happy,سعيد
sad,حزين
love,حب
travel,سفر
language,لغة
friendship,صداقة
beach,شاطئ
mountain,جبل
garden,حديقة
flower,زهرة
star,نجمة
sky,سماء
rain,مطر
cloud,سحابة
color,لون
sleep,نوم
dream,حلم
smile,ابتسامة
laugh,ضحك
work,عمل
play,لعب
study,دراسة
exercise,تمرين
health,صحة
knowledge,معرفة
science,علم
technology,تكنولوجيا
internet,الإنترنت
peace,سلام
war,حرب
freedom,حرية
justice,عدالة
art,فن
culture,ثقافة
history,تاريخ
holiday,عطلة
celebration,احتفال
nature,طبيعة
wildlife,حياة برية
ocean,محيط
architecture,هندسة معمارية
tradition,تقليد
future,مستقبل
past,ماضي
present,حاضر
success,نجاح
failure,فشل
victory,انتصار
defeat,هزيمة
wisdom,حكمة
challenge,تحدي
opportunity,فرصة
community,مجتمع
environment,بيئة
economy,اقتصاد
politics,سياسة
equality,مساواة
diversity,تنوع
kindness,لطف
respect,احترام
generosity,سخاء
faith,إيمان
curiosity,فضول
imagination,خيال
creativity,إبداع
progress,تقدم
innovation,ابتكار
communication,تواصل
collaboration,تعاون
journey,رحلة
destination,وجهة
discovery,اكتشاف
adventure,مغامرة
reflection,تأمل
harmony,تناغم
balance,توازن
tranquility,هدوء
passion,شغف
purpose,هدف
courage,شجاعة
perseverance,استمرارية
inspiration,إلهام
gratitude,امتنان
happiness,سعادة
celestial,سماوي
cuisine,مأكولات
modern,حديث
ancient,قديم
mythology,أساطير
legend,أسطورة
fantasy,خيال
reality,واقع
curriculum,منهاج دراسي
examination,امتحان
vocabulary,مفردات
grammar,قواعد اللغة
conversation,محادثة
negotiation,تفاوض
diplomacy,دبلوماسية
cooperation,تعاون
partnership,شراكة
competition,منافسة
strategy,استراتيجية
tactics,تكتيكات
leadership,قيادة
management,إدارة
entrepreneurship,ريادة الأعمال
investment,استثمار
finance,تمويل
economics,اقتصاديات
society,مجتمع
religion,دين
spirituality,روحانية
philosophy,فلسفة
ethics,أخلاق
morality,أخلاقية
education,تعليم
learning,تعلم
experience,تجربة
memory,ذاكرة
goal,هدف
ambition,طموح
motivation,تحفيز
dedication,اختصاص
discipline,انضباط
patience,صبر
resilience,مرونة
custom,عرف
ceremony,احتفالية
ritual,طقس
festivity,احتفالية
birthday,عيد الميلاد
wedding,زفاف
anniversary,ذكرى سنوية
heritage,تراث
dialect,لهجة
literature,أدب
poetry,شعر
prose,نثر
drama,دراما
painting,رسم
sculpture,نحت
dance,رقص
theater,مسرح
film,فيلم
photography,تصوير فوتوغرافي
fashion,أزياء
design,تصميم
culinary,طهي
gastronomy,علم الطهي
nutrition,تغذية
wellness,عافية
meditation,تأمل
mindfulness,الوعي
yoga,يوغا
sports,رياضة
football,كرة القدم
basketball,كرة السلة
tennis,تنس
swimming,سباحة
athletics,ألعاب القوى
exploration,استكشاف
tourism,سياحة
ecology,علم البيئة
conservation,حفظ البيئة
planet,كوكب
earth,الأرض
universe,الكون
galaxy,مجرة
astronomy,فلك
space,الفضاء
cosmos,الكون
constellation,كوكبة
weather,طقس
climate,مناخ
season,فصل
spring,ربيع
summer,صيف
autumn,خريف
winter,شتاء
beauty,جمال
aesthetics,جماليات
serenity,سكينة
calm,هدوء
relaxation,استرخاء
belief,اعتقاد
worship,عبادة
prayer,صلاة
festival,مهرجان
ancestor,جد
legacy,إرث
generation,جيل
descendant,نسل
kinship,قرابة
marriage,زواج
parent,والد
child,طفل
sibling,شقيق
cousin,ابن العم
grandparent,جد
grandchild,حفيد
aunt,عمة
uncle,عم
nephew,ابن الأخ
surprise,مفاجأة
emotion,عاطفة
expression,تعبير
hope,أمل
grace,نعمة
laughter,ضحك
persistence,مثابرة
simplicity,بساطة
trust,ثقة
vision,رؤية
forgiveness,مغفرة
tolerance,تسامح
understanding,فهم
acceptance,قبول
empathy,تعاطف
compassion,تعاطف
joy,فرح
strength,قوة
achievement,إنجاز
research,بحث
growth,نمو
development,تطوير
positivity,إيجابية
optimism,تفاؤل
effort,جهد
focus,تركيز
productivity,إنتاجية
teamwork,عمل جماعي
adaptability,التكيف
resistance,مقاومة
sport,رياضة
sustainability,استدامة
vitality,حيوية
prosperity,ازدهار
loyalty,الولاء
unity,وحدة
hi,اهلين
tierd,تعبانة
colorful,ملون
black,أسود
white,أبيض
red,أحمر
blue,أزرق
green,أخضر
yellow,أصفر
orange,برتقالي
purple,أرجواني
pink,وردي
brown,بني
gray,رمادي
silver,فضي
gold,ذهبي
rainbow,قوس قزح
dark,مظلم
light,خفيف
shiny,لامع
matte,غير لامع
pattern,نمط
stripes,خطوط
dots,نقاط
checkered,مربعات
plaid,نقش مخطط
solid,صلب
translucent,شفاف
opaque,غير شفاف
emotion,عاطفة
happy,سعيد
sad,حزين
angry,غاضب
surprised,مندهش
confused,مرتبك
excited,متحمس
nervous,متوتر
calm,هادئ
peaceful,سلمي
content,راضٍ
grateful,ممتن
bored,ممل
curious,فضولي
proud,فخور
ashamed,خجول
embarrassed,محرج
guilty,مذنب
optimistic,متفائل
pessimistic,متشائم
body,جسم
head,رأس
hair,شعر
face,وجه
eyes,عيون
nose,أنف
mouth,فم
ear,أذن
neck,عنق
shoulder,كتف
arm,ذراع
elbow,مرفق
hand,يد
fingers,أصابع
thumb,إبهام
palm,راحة اليد
fist,قبضة
chest,صدر
stomach,معدة
back,ظهر
leg,ساق
knee,ركبة
foot,قدم
toe,إصبع القدم
numbers,أرقام
zero,صفر
one,واحد
two,اثنان
three,ثلاثة
four,أربعة
five,خمسة
six,ستة
seven,سبعة
eight,ثمانية
nine,تسعة
ten,عشرة
hundred,مئة
thousand,ألف
million,مليون
billion,مليار
directions,اتجاهات
north,شمال
south,جنوب
east,شرق
west,غرب
up,فوق
down,تحت
left,يسار
right,يمين
time,الوقت
clock,ساعة حائط
watch,ساعة يد
hourglass,المؤقت
second hand,عقارب الثواني
minute hand,عقارب الدقائق
hour hand,عقارب الساعة
body parts,أجزاء الجسم
ears,أذنين
teeth,أسنان
tongue,لسان
lips,شفاه
shoulders,كتفين
arms,ذراعين
hands,يدين
legs,ساقين
feet,قدمين
toes,أصابع القدم
clothing,ملابس
shirt,قميص
pants,سروال
dress,فستان
skirt,تنورة
jacket,جاكيت
sweater,سترة
hat,قبعة
shoes,حذاء
socks,جوارب
gloves,قفازات
scarf,وشاح
adjectives,صفات
big,كبير
small,صغير
fast,سريع
slow,بطيء
high,عالي
low,منخفض
bright,مشرق
heavy,ثقيل
long,طويل
short,قصير
thick,سميك
thin,رفيع
wide,واسع
narrow,ضيق
strong,قوي
weak,ضعيف
hot,حار
cold,بارد
loud,عالي الصوت
quiet,هادئ
hard,صلب
soft,ناعم
smooth,ناعم
rough,خشن
wet,رطب
dry,جاف
animals,حيوانات
lion,أسد
elephant,فيل
tiger,نمر
giraffe,زرافة
zebra,حمار وحشي
monkey,قرد
kangaroo,كنغر
penguin,بطريق
turtle,سلحفاة
snake,ثعبان
crocodile,تمساح
dolphin,دلفين
whale,حوت
shark,قرش
butterfly,فراشة
bee,نحلة
ant,نملة
spider,عنكبوت
bird,طائر
owl,بومة
duck,بطة
fish,سمك
horse,حصان
cow,بقرة
sheep,خروف
dog,كلب
cat,قطة
rabbit,أرنب
mouse,فأر
verbs,أفعال
run,يركض
walk,يمشي
jump,يقفز
swim,يسبح
fly,يطير
eat,يأكل
drink,يشرب
sleep,ينام
wake up,يستيقظ
dream,يحلم
laugh,يضحك
cry,يبكي
sing,يغني
dance,يرقص
talk,يتحدث
listen,يستمع
see,يرى
look,ينظر
smell,يشم
touch,يلمس
feel,يشعر
think,يفكر
remember,يتذكر
forget,ينسى
learn,يتعلم
teach,يعلم
write,يكتب
read,يقرأ
draw,يرسم
paint,يرسم بالألوان
create,يخلق
build,يبني
destroy,يدمر
fix,يصلح
open,يفتح
close,يغلق
play,يلعب
work,يعمل
rest,يستريح
travel,يسافر
explore,يستكشف
discover,يكتشف
celebrate,يحتفل
pray,يصلي
meditate,يتأمل
exercise,يتمرن
relax,يسترخي
sunset,غروب الشمس
sunrise,شروق الشمس
wind,هواء
fire,نار
ice,ثلج
storm,عاصفة
thunder,رعد
lightning,صواعق
cloudy,غائم
clear,صافي
fog,ضباب
rainy,ممطر
snowy,مثلج
warm,دافئ
temperature,درجة الحرارة
seasons,فصول السنة
day,يوم
night,ليل
morning,صباح
afternoon,بعد الظهر
evening,مساء
midnight,منتصف الليل
today,اليوم
yesterday,أمس
tomorrow,غداً
week,أسبوع
month,شهر
year,سنة
hour,ساعة
minute,دقيقة
second,ثانية
calendar,التقويم
date,تاريخ
holiday,عطلة
weekend,نهاية الأسبوع
Monday,الاثنين
Tuesday,الثلاثاء
Wednesday,الأربعاء
Thursday,الخميس
Friday,الجمعة
Saturday,السبت
Sunday,الأحد
January,يناير
February,فبراير
March,مارس
April,إبريل
May,مايو
June,يونيو
July,يوليو
August,أغسطس
September,سبتمبر
October,أكتوبر
November,نوفمبر
December,ديسمبر
morning,صباح
country,بلد
nation,أمة
flag,علم
capital,عاصمة
government,حكومة
citizen,مواطن
nationality,جنسية
language,لغة
currency,عملة
population,سكان
geography,جغرافيا
culture,ثقافة
history,تاريخ
heritage,تراث
tradition,تقليد
customs,عادات
diplomacy,دبلوماسية
international,دولي
borders,حدود
migration,هجرة
identity,هوية
sovereignty,سيادة
peace,سلام
conflict,صراع
war,حرب
alliance,تحالف
neutrality,حياد
trade,تجارة
economy,اقتصاد
development,تطوير
globalization,عولمة
tourism,سياحة
architecture,عمارة
landmarks,معالم
cuisine,مأكولات
festival,مهرجان
celebration,احتفال
diversity,تنوع
unity,وحدة
discovery,اكتشاف
exploration,استكشاف
geopolitics,الجيوسياسية
technology,تكنولوجيا
innovation,ابتكار
digital,رقمي
internet,الإنترنت
website,موقع الكتروني
software,برمجيات
hardware,أجهزة
computer,حاسوب
laptop,حاسوب محمول
tablet,جهاز لوحي
smartphone,هاتف ذكي
application,تطبيق
social media,وسائل التواصل الاجتماعي
network,شبكة
data,بيانات
cloud,سحابة
cybersecurity,أمان الشبكات
programming,برمجة
code,كود
algorithm,خوارزمية
virtual reality,واقع افتراضي
augmented reality,واقع معزز
artificial intelligence,ذكاء اصطناعي
machine learning,تعلم الآلة
automation,تلقائية
robotics,الروبوتات
3D printing,طباعة ثلاثية الأبعاد
biotechnology,التكنولوجيا الحيوية
nanotechnology,تكنولوجيا النانو
energy,طاقة
sustainable,مستدام
renewable,متجدد
battery,بطارية
electric vehicle,مركبة كهربائية
space exploration,استكشاف الفضاء
satellite,قمر صناعي
telecommunication,الاتصالات
5G,تكنولوجيا 5G
gaming,ألعاب الفيديو
virtual assistant,مساعد افتراضي
biometrics,تقنية البيومترية
drones,الطائرات بدون طيار
wearable technology,تكنولوجيا قابلة للارتداء
IoT (Internet of Things),الإنترنت من الأشياء
blockchain,تقنية البلوكشين
cryptocurrency,عملة رقمية
ecommerce,التجارة الإلكترونية
streaming,البث المباشر
management,إدارة
leadership,قيادة
organization,تنظيم
strategy,استراتيجية
planning,تخطيط
implementation,تنفيذ
execution,تنفيذ
decision-making,اتخاذ القرار
delegation,تفويض
teamwork,عمل جماعي
communication,تواصل
coordination,تنسيق
supervision,إشراف
motivation,دافع
problem-solving,حل المشكلات
change management,إدارة التغيير
strategic planning,تخطيط استراتيجي
risk management,إدارة المخاطر
performance evaluation,تقييم الأداء
feedback,تغذية راجعة
goal setting,تحديد الأهداف
time management,إدارة الوقت
resource management,إدارة الموارد
budgeting,إعداد الميزانية
project management,إدارة المشاريع
quality control,مراقبة الجودة
organizational culture,ثقافة المؤسسة
workplace ethics,أخلاقيات مكان العمل
conflict resolution,حل النزاعات
decision-maker,صانع القرار
manager,مدير
supervisor,مشرف
executive,تنفيذي
team leader,قائد الفريق
employee,موظف
efficiency,كفاءة
effectiveness,فعالية
productivity,إنتاجية
performance metrics,مقاييس الأداء
strategic thinking,التفكير الاستراتيجي
life,حياة
existence,وجود
living,عيش
experience,تجربة
journey,رحلة
adventure,مغامرة
opportunity,فرصة
challenge,تحدي
growth,نمو
learning,تعلم
change,تغيير
transition,انتقال
milestone,محطة هامة
achievement,إنجاز
success,نجاح
failure,فشل
resilience,مرونة
perseverance,استمرارية
self-discovery,اكتشاف الذات
purpose,هدف
meaning,معنى
fulfillment,تحقيق
contentment,رضا
happiness,سعادة
joy,فرح
love,حب
friendship,صداقة
family,عائلة
relationships,علاقات
connection,اتصال
emotions,مشاعر
mindfulness,الوعي
balance,توازن
well-being,رفاهية
health,صحة
fitness,لياقة بدنية
nutrition,تغذية
rest,راحة
sleep,نوم
dream,حلم
reflection,تأمل
gratitude,امتنان
positivity,إيجابية
optimism,تفاؤل
faith,إيمان
spirituality,روحانية
mindset,تفكير
perspective,منظور
acceptance,قبول
forgiveness,مغفرة
compassion,تعاطف
kindness,لطف
generosity,سخاء
legacy,إرث
time,وقت
moment,لحظة
youth,شباب
aging,شيخوخة
wisdom,حكمة
values,قيم
passion,شغف
creativity,إبداع
expression,تعبير
freedom,حرية
wellness,عافية
exercise,تمرين
physical,جسدي
mental,عقلي
emotional,عاطفي
lifestyle,نمط حياة
nutritionist,اختصاصي تغذية
diet,حمية
healthy,صحي
organic,عضوي
fresh,طازج
nutrient,غذاء
vitamin,فيتامين
mineral,معدن
hydration,الترطيب
water,ماء
relaxation,استرخاء
mental-health,صحة عقلية
stress,ضغط
anxiety,قلق
depression,اكتئاب
self-care,العناية بالنفس
prevention,الوقاية
workout,تدريب
cardio,تمرين القلب
strength,قوة
flexibility,مرونة
immune,المناعة
vaccination,تلقيح
medicine,دواء
treatment,علاج
therapy,علاج نفسي
recovery,استعادة
patient,مريض
doctor,طبيب
nurse,ممرضة
hospital,مستشفى
clinic,عيادة
emergency,حالة طوارئ
symptom,أعراض
diagnosis,تشخيص
prescription,وصفة طبية
medication,دواء
healthcare,رعاية صحية
insurance,تأمين
mental-wellness,عافية عقلية
meditation,تأمل
stress-relief,تخفيف الضغط
self-love,حب النفس
positive,إيجابي
holistic,شامل
alternative-medicine,الطب البديل
acupuncture,الوخز بالإبر
chiropractic,الكايروبراكتيك
homeopathy,الهوميوباثي
wellness-coach,مدرب على العافية
family-bond,روابط عائلية
care,اهتمام
support,دعم
affection,مودة
trust,ثقة
family-time,وقت العائلة
family-dinner,عشاء العائلة
generation,جيل
ancestor,جد
descendant,نسل
kinship,قرابة
car,سيارة
vehicle,مركبة
automobile,سيارة
engine,محرك
wheel,عجلة
tire,إطار
brake,يفرمل
headlights,أضواء أمامية
taillights,أضواء خلفية
windshield,زجاج الأمامي
wipers,ممسحة الزجاج
mirror,مرآة
horn,بوق
steering wheel,عجلة القيادة
gear,تروس
transmission,ناقل الحركة
dashboard,لوحة القيادة
seat,مقعد
seatbelt,حزام الأمان
key,مفتاح
ignition,إشعال
fuel,وقود
gasoline,بنزين
diesel,ديزل
electric,كهربائي
hybrid,هجين
model,نموذج
make,صنع
brand,علامة تجارية
speed,سرعة
accelerate,تسارع
park,يصفّ
reverse,رجوع
turn,منعطف
road,طريق
highway,طريق سريع
lane,حارة
intersection,تقاطع
traffic,حركة المرور
driver,سائق
passenger,راكب
license,رخصة
registration,تسجيل
maintenance,صيانة
repair,إصلاح
tow,جر
garage,جراج
auto mechanic,فني سيارات
car wash,غسيل السيارات
fuel station,محطة وقود
toll booth,كاشف الرسوم
traffic jam,ازدحام المرور
road trip,رحلة على الطريق
convertible,سيارة قابلة للتحويل
sedan,سيدان
SUV,سيارة متعددة الاستخدامات
pickup truck,شاحنة نصف نقل
minivan,سيارة متعددة الاستخدامات صغيرة
electric car,سيارة كهربائية
hybrid car,سيارة هجينة
gym,صالة الألعاب الرياضية
strength training,تدريب القوة
cardiovascular exercise,تمرين القلب والأوعية الدموية
aerobics,الهوائيات
weightlifting,رفع الأثقال
running,جري
walking,مشي
cycling,ركوب الدراجات
swimming,سباحة
stretching,تمدد
warm-up,احماء
cooldown,تمارين التبريد
repetition,تكرار
set,مجموعة
dumbbell,دمبل (ثقل)
barbell,شريط (ثقل)
kettlebell,كتل بل (ثقل)
resistance band,شريط مقاومة
treadmill,جهاز المشي
stationary bike,دراجة ثابتة
elliptical trainer,مدرب إليبتيكال
fitness class,صف لياقة بدنية
personal trainer,مدرب شخصي
protein,بروتين
carbohydrates,كربوهيدرات
healthy fats,دهون صحية
vitamins,فيتامينات
minerals,معادن
muscle,عضلة
endurance,تحمل
core strength,قوة الجذر
progress,تقدم
bodybuilding,بناء الجسم
crossfit,كروسفت
yoga,يوغا
pilates,بيلاتس
zumba,زومبا
HIIT (High-Intensity Interval Training),تدريب فاصل ذو كثافة عالية
calories,سعرات حرارية
recovery time,وقت الاسترجاع
body composition,تركيب الجسم
cooling down,تبريد
personal best,أفضلية شخصية
sportsmanship,رياضية
team spirit,روح الفريق
food,طعام
dish,طبق
meal,وجبة
appetizer,مقبلات
main course,طبق رئيسي
dessert,حلوى
snack,وجبة خفيفة
beverage,مشروب
breakfast,فطور
lunch,غداء
dinner,عشاء
buffet,بوفيه
recipe,وصفة
ingredient,مكون
spices,توابل
herbs,أعشاب
flavor,نكهة
taste,طعم
sweet,حلو
sour,حامض
spicy,حار
salty,مالح
bitter,مر
savory,لذيذ
grilled,مشوي
roasted,محمص
fried,مقلي
baked,مخبوز
steamed,مبخر
boiled,مسلوق
raw,خام
vegetarian,نباتي
vegan,نباتي خالي من المنتجات الحيوانية
gluten-free,خالي من الجلوتين
dairy-free,خالي من الألبان
nut-free,خالي من المكسرات
homemade,صناعة منزلية
local,محلي
spoon,ملعقة
fork,شوكة
knife,سكين
plate,صحن
cup,كوب
glass,كأس
napkin,منديل
cutlery,أدوات المائدة
tablecloth,مفرش المائدة
catering,تقديم الطعام
chef,طاهي
cook,طباخ
baker,خباز
barista,باريستا
menu,قائمة الطعام
order,طلب
reservation,حجز
delivery,توصيل
tip,بقشيش
local produce,منتجات محلية
seasonal,فصلي
gourmet,ذواقة
culinary arts,فنون الطهي
gastronomy,علم الطهي
foodie,عاشق للطعام
shopping,التسوق
retail,تجزئة
mall,مركز تسوق
store,متجر
boutique,بوتيك
market,سوق
shopper,متسوق
customer,زبون
sale,تخفيض
discount,خصم
promotion,ترويج
product,منتج
merchandise,بضائع
cart,عربة التسوق
basket,سلة
cashier,أمين الصندوق
receipt,إيصال
payment,دفع
checkout,الدفع
credit card,بطاقة الائتمان
debit card,بطاقة الخصم
cash,نقداً
exchange,صرف
return,إرجاع
refund,استرداد
online shopping,التسوق عبر الإنترنت
e-commerce,التجارة الإلكترونية
shipping,الشحن
shopping spree,جولة تسوق
window shopping,التسوق من خلال النوافذ
bargain,صفقة
sale season,موسم التخفيضات
fashion,أزياء
style,أسلوب
trend,اتجاه
wardrobe,خزانة الملابس
accessories,إكسسوارات
jewelry,مجوهرات
shoes,أحذية
clothing,ملابس
electronics,إلكترونيات
gadgets,أجهزة
appliance,جهاز منزلي
groceries,مشتريات البقالة
food court,المطعم السريع
cafeteria,الكافتيريا
sale rack,رف التخفيضات
brand loyalty,ولاء العلامة التجارية
impulse buying,شراء فجائي
customer service,خدمة العملاء